title,year,platform,resolution,extras,section
2001: A Space Odyssey,1968,appletv,4k,TRUE,Films
A Perfect Spy,1987,appletv,HD,FALSE,TV Shows
Alien,1979,appletv,4k,TRUE,Films
All The President's Men,1976,prime,HD,FALSE,Films
An American Werewolf in London,1981,appletv,HD,FALSE,Films
Apocalypse Now,1979,appletv,4K,TRUE,Films
Apocalypto,2008,appletv,HD,FALSE,Films
Asterix: The Mansions of the Gods,2016,appletv,HD,FALSE,Films
Blade Runner (The Final Cut),1982,appletv,4k,TRUE,Films
Blade Runner 2049,2017,appletv,4k,FALSE,Films
Casablanca,1942,appletv,4K,TRUE,Films
Citizen Kane,1941,appletv,4k,FALSE,Films
Contagion,2011,prime,HD,FALSE,Films
Dark Star,1974,appletv,HD,FALSE,Films
Dead and Buried,1981,appletv,HD,FALSE,Films
Django Unchained,2012,appletv,HD,FALSE,Films
Excalibur,1981,appletv,HD,FALSE,Films
Existenz,1999,appletv,HD,FALSE,Films
Gladiator,2000,appletv,HD,FALSE,Films
Hidden Figures,2016,bluray,HD,FALSE,Films
Home Alone,1990,appletv,4k,FALSE,Films
Jabberwocky,1977,appletv,HD,FALSE,Films
Jaws,1975,appletv,4k,FALSE,Films
Life (BBC),2009,appletv,HD,FALSE,TV Shows
Life Is Beautiful,1997,appletv,HD,FALSE,Films
Live Die Repeat: Edge of Tomorrow,2014,appletv,4k,FALSE,Films
Mario Puzo's The Godfather Coda,1990,appletv,HD,TRUE,Films
Miller's Crossing,1990,appletv,HD,FALSE,Films
Naked Lunch,1991,appletv,4K,FALSE,Films
Nicholas and Alexandra,1971,appletv,HD,FALSE,Films
Once Upon a Time in the West,1968,appletv,HD,FALSE,Films
Oppenheimer,2003,appletv,4K,TRUE,Films
Papillon,1973,appletv,HD,FALSE,Films
Predestination,2014,appletv,HD,FALSE,Films
Prince of Darkness,1987,appletv,4k,FALSE,Films
Reds,1981,appletv,4k,FALSE,Films
Robocop,1987,appletv,4k,TRUE,Films
Silent Running,1972,appletv,HD,FALSE,Films
Smiley's People,1982,appletv,HD,FALSE,Films
Sorcerer,1977,appletv,HD,FALSE,Films
The Andromeda Strain,1971,appletv,HD,FALSE,Films
The Duellists,1978,appletv,HD,FALSE,Films
The Fog,1980,appletv,4k,FALSE,Films
The Godfather,1972,appletv,4k,TRUE,Films
The Godfather Part II,1974,appletv,4k,TRUE,Films
The Howling,1981,appletv,4k,FALSE,Films
The Muppet Christmas Carol,1992,prime,HD,FALSE,Films
The Naked City,1948,appletv,HD,FALSE,Films
The Player,1992,appletv,HD,FALSE,Films
The Right Stuff,1984,prime,HD,FALSE,Films
The Shining,1980,appletv,4k,FALSE,Films
The Thing,1982,appletv,4k,FALSE,Films
The West Wing,1999,prime,HD,FALSE,Films
They Live,1988,appletv,4k,TRUE,Films
Tinker Tailer Soldier Spy,1979,appletv,HD,FALSE,TV Shows
Total Recall,1990,appletv,4k,TRUE,Films
What We Do In the Shadows,2014,appletv,HD,FALSE,Films
White Christmas,1954,appletv,HD,FALSE,Films
Withnail & I,1987,appletv,HD,TRUE,Films
